",phone"
173,+1 417 256
174,+1 417 257
175,+46 020 120 3222
176,+800 73332
177,+1 877 860 4895
178,+124373555
179,+34 900 906 025
180,+974 4 411 9418
181,+965 2221 9876
182,+966 121 88 385
183,+995322970124
184,+673 1 800 6738
185,+20 2 353 3333
186,+37410541082
187,+800 0200 0132
188,+1 877 860 4893
189,+355044515151
190,+389 2 3090 890
191,+973 8000 45 00
192,+1 800 710 200
193,+34 644 229 319
194,+41 52 533 8332
195,+41 52 533 8331
196,+49 621 33833 0
197,+82 70 4515 6893
198,+381 64 884 1887
199,+49 40 4191310
200,+41 41 662 02
201,+49 40 419 131 361
202,+43 1 236 7359
203,+353578684800
204,+35317611048000
205,+49 40 419 131 0
206,+49 40 419 131 44
207,+49 40 419 131 11
208,+2489668359
209,+1 206 479 2600
210,+13233930684
211,+61 3 9987 5654
212,+36 1 424 0134
213,+65 6710 7720
214,+1 514 5164236
215,+43 732 67280
216,+39 0461 4304
217,+011 380 445297732
218,+421 041 5003070
219,+43 662 854111
220,+1 402 441
221,+33 472 71575
222,+420 226205600
223,+420 530501570
224,+43 662 890800
225,+33 1 84020090
226,+420 53 0501570
227,+31 30 3410070
228,+49 2593 8249
229,+47 22 331570
230,+420 225 384890
231,+49 6172 5906
232,+1 805 376333
233,+44 113 3372031
234,+49 40 808074639
235,+358 10 5486800
236,+44 1525 406508
237,+33 01 84020090
238,+44 845 0037066
239,+46 18 136060
240,+31 026 3201230
241,+86 10 63102808
242,+55 11 30454350
243,+7 495 5102503
244,+1 800 5414890
245,+33 223 3541
246,+32 13 551775
247,+1 949 95158
248,+1 480 9459820
249,+49 711 810020
250,+49 711 858020
251,+44 1635 580318
252,+47 517889
253,+49 89 588054
254,+43 316 269786
255,+46 8 48002320
256,+33 556 6925
257,+420 225 384880
258,+31 26 3201230
259,+39 041 89435
260,+32 13 554175
261,+421 41 5003070
262,+36 1 43730
263,+44 1530 560126
264,+33 7 69438592
265,+44 333 7720444
266,+49 4202 989
267,+1 410 2908050
268,+001 443 6711431
269,+33 472 7157
270,+1 480 3052120
271,+49 89 74643
272,+813 554538
273,+52 55 55368483
274,+52 55 56871460
275,+420 226 205600
276,+34 915 714877
277,+1 626 3989210
278,+1 805 3763333
279,+86 021 60573670
280,+44 1895 527590
281,+49 89 92793
282,+43 662 2232
283,+30 755 699
284,+852 3975 3260
285,+41 44 83976
286,+65 8234 0234
287,+49 2102 91051
288,+33 1 804932
289,+49 721 97055
290,+49 2102 5546
291,+61 2 80050006
292,+1 626 7884100
293,+1 410 2905114
294,+1 202 9304850
295,+34 918 107083
296,+1 402 44140
297,+81355455793
298,+4401895527590
299,+18566730326
300,+498974643207
301,+19494609117
302,+18772615889
303,+18663628970
304,+61 3 9878 5000
305,+441543 419886
306,+44 1543 419 886
307,+1415344
308,+1 888 900 4529
309,+44 800 088 5522
310,+61283110606
311,+1 408 627 7616
312,+61 2 9973 4499
313,+44 208 123 3709
314,+86 10 5929 7000
315,+1 610 458 5000
316,+353 1 436 4600
317,+3293811500
318,+32 9 381 15 00
319,+61 432 953 928
320,+1 301 715 8592
321,+1 669 900 6833
322,+1 929 205 6099
323,+1 346 248 7799
324,+1 312 626 6799
325,+19292056099
326,+1 253 215 8782
327,+46087955510
328,+33664985030
329,+33951760032
330,+46 851 971 087
331,+86 800 830 3083
332,+86 4008218878
333,+35722818456
334,+357 22304565
335,+35722304565
336,+357 22818456
337,+494055558990
338,+494042236427
339,+494055557809
340,+49 40 3703
341,+41 41 710 93 64
342,+49 40 320 340 75
343,+49 40 43 51 12
344,+17814722001
345,+358503063073
346,+358503473969
347,+358505998972
348,+358408609522
349,+358505627632
350,+358 50 331 4024
351,+358503289565
352,+358415141991
353,+358505714013
354,+358456361600
355,+358504624270
356,+358505670487
357,+358503844318
358,+358504665169
359,+358504488538
360,+358504013455
361,+358407104281
362,+358407104392
363,+358 50 339 0990
364,+358503090132
365,+358400792154
366,+358505288364
367,+358505240927
368,+358504710467
369,+358503250708
370,+358400792037
371,+358504359655
372,+358405456350
373,+358456349704
374,+358405858415
375,+358400792093
376,+358469219098
377,+358405074551
378,+358 294 47 2200
379,+358504063016
380,+358504070842
381,+358504141536
382,+358505262004
383,+358504568145
384,+358505746504
385,+358407104205
386,+358407104399
387,+358503453946
388,+358505627014
389,+358408219029
390,+358503091695
391,+358503843452
392,+358503496712
393,+358407104344
394,+358505188546
395,+358503566814
396,+358505756353
397,+358504350382
398,+39 050 40834
399,+39 050 221 2111
400,+4684537879
401,+48 22 694 16 92
402,+48 22 694 14 17
403,+2292634
404,+919930604855
405,+34 93 480 44 10
406,+490211 52808563
407,+330472670274
408,+497532494442
409,+48 22 626 87 86
410,+34 93 3560037
411,+48228108013
412,+49 7532 494 442
413,+543548424205
414,+351 227 620 335
415,+54 3548 424205
416,+351227536820
417,+497532494248
418,+48 22 810 80 13
419,+74957989970
420,+49 7532 494 248
421,+34933560037
422,+48 22 626 87 85
423,+48226268785
424,+7 495 204 23 95
425,+54 93548 401419
426,+5493548401419
427,+33 0320306617
428,+90 262 678 72 53
429,+33 03 20 30 66 17
430,+48226268786
431,+351 227 536 820
432,+7 495 798 99 70
433,+74952042395
434,+639212405453
435,+34 938641111
436,+639614701303
437,+39 06 59905100
438,+33 1 55 80 79 10
439,+39 02 7200 8206
440,+33 1 4029 9333
441,+358 9 47001
442,+41443154400
443,+12059366120
444,+18286281027
445,+18883663565
446,+18054394240
447,+16206631470
448,+12404902058
449,+19314245089
450,+14032172343
451,+17197832585
452,+19705705270
453,+12296412081
454,+16185599302
455,+15022220602
456,+13189496249
457,+12316890457
458,+15172147848
459,+16608646287
460,+16606209052
461,+16037562805
462,+18562978336
463,+15039284428
464,+13256507664
465,+15803203228
466,+99163360
467,+4797733439
468,+4745294211
469,+18883853208
470,+1888385 3208
471,+39 011 003 1111
472,+41 58 585 56 34
473,+41 58 585 76 55
474,+1 202 223 9252
475,+1 202 223 9256
476,+44 2074218299
477,+44 8700118187
478,+1 818 553 7210
479,+1 818 560 1000
480,+97126717333
481,+97126961146
482,+97142300018
483,+97142300011
484,+1 353 1 646
485,+49 700 86627724
486,+81 3 5847 8233
487,+44 203 884 0370
488,+31887002760
489,+31887002667
490,+31887002600
491,+31318648575
492,+358 50 44 88 540
493,+358400792041
494,+358400792175
495,+358503398026
496,+358505266543
497,+358408609524
498,+358504758948
499,+358503426296
500,+358504720344
501,+358400792045
502,+358505270563
503,+358407104288
504,+358407104287
505,+358407104339
506,+358407104286
507,+358407104337
508,+358408609530
509,+358405571812
510,+358407104284
511,+358400941699
512,+358505015622
513,+358407104200
514,+358503877308
515,+358505680584
516,+358451791177
517,+358405323425
518,+358469216117
519,+358503574047
520,+358407104292
521,+358509112987
522,+358407104373
523,+358505262020
524,+358505762349
525,+358407104313
526,+358504616682
527,+358407104340
528,+358503843484
529,+358407104371
530,+358407104382
531,+358505949042
532,+358 29 450 2709
533,+358 50 555 0567
534,+358503843483
535,+358505356967
536,+358504390517
537,+358 50 516 9339
538,+358408609538
539,+358504404150
540,+358469211412
541,+358503406258
542,+358504382789
543,+358505906797
544,+358456578656
545,+358406313553
546,+358504779213
547,+358407104397
548,+358503843470
549,+358505262006
550,+358207070443
551,+35860010800
552,+358207070426
553,+358207070437
554,+358207624862
555,+358970018251
556,+35860010020
557,+41 22 749 08 88
558,+31 10 436 1044
559,+49 30 364280169
560,+31 10 4361044
561,+33 1 42786886
562,+420 604 940 663
563,+49 221 470
564,+39 081 5515386
565,+34 913 945 289
566,+49 8421 93
567,+39 050 24773
568,+41 31 631 80 05
569,+48 12 633 63 77
570,+41 31 631 36 03
571,+47 22 85 59 43
572,+49 9131 85
573,+34 976 567 884
574,+47 22 85 48 28
575,+49 3641 9
576,+34 923 294 657
577,+39 010 2095965
578,+44 1865 280400
579,+36 1 266 91 00
580,+34 976 551 647
581,+34 913 973 930
582,+31 71 527 2501
583,+43 662 8044
584,+49 40 42838
585,+49 931 31
586,+49 228 73
587,+41 21 692 29 73
588,+41 44 634 43 57
589,+49 89 2180
590,+39 041 5210048
591,+39 045 8028733
592,+39 0382 984 484
593,+48 12 422 67 93
594,+39 050 44100
595,+49 431 880
596,+41 32 718 17 01
597,+43 1 4277
598,+39 0382 984 487
599,+36 1 267 09 66
600,+44 1865 280412
601,+34 935 812 384
602,+43 463 2700
603,+34 934 035 602
604,+34 923 294 445
605,+34 934 035 596
606,+41 44 634 20 39
607,+386 1 241 1430
608,+39 010 2099714
609,+34 985 104 590
610,+49 351 463
611,+34 935 813 114
612,+41 61 267 27 71
613,+41 32 718 16 90
614,+49 345 552
615,+43 316 380
616,+49 941 943
617,+36 1 266 56 99
618,+34 954 556 985
619,+49 6421 28
620,+47 22 85 62 27
621,+49 251 83
622,+34 954 551 515
623,+49 69 798
624,+39 041 2577311
625,+39 0432 556539
626,+34 985 104 591
627,+45 35 32 83 77
628,+41 21 692 29 15
629,+49 6131 39
630,+39 0432 556510
631,+34 913 974 539
632,+33 1 40 46 31 39
633,+45 35 32 83 11
634,+34 958 243 694
635,+43 512 507
636,+39 081 6909622
637,+49 761 203
638,+49 30 2093
639,+386 1 241 1000
640,+47 22 85 71 00
641,+33 1 49 54 83 59
642,+34 983 423 000
643,+39 045 8028644
644,+41 61 267 27 72
645,+49 551 39
646,+31 71 527 7569
647,+420 224 491 413
648,+34 935 812 001
649,+34 945 139 811
650,+45 35 32 86 48
651,+49 69 798 23139
652,+49 69 798 22873
653,+1 505 646 1148
654,+1 915 585 3045
655,+1 915 581
656,+1 505 521 0611
657,+1 915 833
658,+447756165803
659,+44 7756 165803
660,+34 682 916 136
661,+34 682 508 507
662,+852 2250 3242
663,+91 22 3065 2100
664,+65 6507 4248
665,+27 10 020 3061
666,+44 7771 633 055
667,+81 3 5157 3563
668,+27 10 020 3064
669,+852 2918 8653
670,+1 212 705 9300
671,+33 1 44 95 85 92
672,+86 1 36 3667 5812
673,+44 208 433 2871
674,+971 4 367 8090
675,+27 100 203 061
676,+852 2918 8646
677,+1 41 6204 0513
678,+61 2 9744 4620
679,+91 11 4608 3806
680,+1 650 319
681,+1 310 823
682,+49 89 2555 2276
683,+34 518 880 290
684,+9718000320823
685,+33 7 57 90 52 73
686,+44 20 3514 6970
687,+442035146970
688,+18552376726
689,+49 3222 109 5130
690,+47 22 39 69 00
691,+31 70 888 8500
692,+359 2 915 3525
693,+352 2610 60 6099
694,+386 1 230 9778
695,+32 2 283 19 00
696,+31 70 888 8501
697,+45 33 1932 00
698,+46 8 657 6100
699,+372 6828 712
700,+36 1 3911 400
701,+354 510 9600
702,+356 2328 7100
703,+385 1 4609 000
704,+357 22 304 565
705,+33 1 53 73 22 22
706,+49 228 997799 0
707,+370 5 279 1445
708,+351 21 397 68 32
709,+32 2 274 48 35
710,+371 6722 3131
711,+33 1 53 73 22 00
712,+48 22 531 03 00
713,+358 29 56 66700
714,+353 76 110 4800
715,+40 31 805 9602
716,+371 6722 3556
717,+40 31 805 9211
718,+420 234 665 444
719,+357 22 818 456
720,+32 2 283 19 50
721,+30 210 6475 600
722,+34 91 266 3517
723,+46 8 652 8652
724,+39 06 69677 785
725,+32 2 274 48 00
726,+420 234 665 111
727,+351 21 392 84 00
728,+385 1 4609 099
729,+359 2 915 3580
730,+49 228 997799 5550
731,+423 236 6090
732,+370 5 271 2804
733,+386 1 230 9730
734,+359 2 915 3548
735,+34 91 455 5699
736,+352 2610 60 1
737,+370 5 261 9494
738,+356 2328 7198
739,+30 210 6475 628
740,+39 06 69677 1
741,+1 415 701 1110
742,+14157011110
743,+16467553259
744,+15126403000
745,+63 2 7755 7700
746,+31207960060
747,+31 20 796 0060
748,+1 512 640 3000
749,+61292621443
750,+1 646 755 3259
751,+81 45 330 9080
752,+81453309080
753,+6327557700
754,+61 2 9262 1443
755,+52 55 8852 6151
756,+30 2814409634
757,+30 2814409573
758,+30 28 14 40 9711
759,+49 30 577148268
760,+4291323845
761,+4291323898
762,+4291323963
763,+4291323869
764,+4291323973
765,+4291323881
766,+4291323904
767,+4291323922
768,+4291323917
769,+4291323936
770,+4291323910
771,+4291323929
772,+1 415 436 9333
773,+1 415 436
774,+79030038952
775,+7 903 003
776,+14037148582
777,+49 89 9919500
778,+49 89 991950999
779,+49 89 991950
780,+1 617 868
781,+41 64 56 59 83
782,+41 64 56 59 90
783,+35243011
784,+91 9654312007
785,+234 8099882548
